A .	accusativus	subst:sg:_:m3
a .	albo	conj
A .	akcyjny	adj:_:_:_:pos
A . D .	Anno Domini	xxx
A . D .	Anno Domini	xxx
a . s . c .	akta stanu cywilnego	subst:pl:_:n:pt
Ab	Księga Abdiasza	subst:sg:_:f
AE	Akademia Ekonomiczna	subst:sg:_:f
AF	AF	subst:sg:_:f
Ag	Księga Aggeusza	subst:sg:_:f
AGD	artykuły gospodarstwa domowego	subst:pl:_:m3
agd	artykuły gospodarstwa domowego	subst:pl:_:m3
Al	aluminium	subst:_:_:n:ncol
Al .	Aleja	subst:pl:_:f
al .	aleja	subst:sg:_:f
Am	Księga Amosa	subst:sg:_:f
ang .	angielski	subst:sg:_:m3
ang .	angielski	adj:_:_:_:pos
arch .	archiwalny	adj:_:_:_:pos
arch .	archiwum	subst:_:_:n:ncol
art	artykuł	subst:_:_:m3
art .	artykuł	subst:_:_:m3
AS	Associazione Sportiva	xxx
b	bit	subst:_:_:m3
B	bajt	subst:_:_:m3
B .	biernik	subst:sg:_:m3
b .	bez	prep:gen:nwok
b .	były	adj:_:_:_:pos
b .	bieżący	adj:_:_:_:pos
b .	bardzo	adv:pos
b .	bieżeć	pact:_:_:_:_:aff
b .	były	subst:_:_:m1.f
B .	boży	adj:_:_:_:pos
Ba	Księga Barucha	subst:sg:_:f
bdb .	bardzo dobry	subst:_:_:m3
bld	biliard	subst:_:_:m3
bln	bilion	subst:_:_:m3
bln	bilion	num:pl:_:_:rec
bps	bit per second	xxx
BTW	by the way	xxx
bulw .	bulwar	subst:_:_:m3
c	cent	subst:_:_:m2
C	stopień Celsjusza	subst:_:_:m3
C .	celownik	subst:sg:_:m3
C .	cieśnina	subst:_:_:f
c . k .	cesarsko-królewski	adj:_:_:_:pos
c . o .	centralne ogrzewanie	subst:sg:_:n:ncol
ca	circa	xxx
cal	kaloria	subst:_:_:f
cm	centymetr	subst:_:_:m3
cm	centymetrowy	adj:_:_:_:pos
cm .	centymetr	subst:_:_:m3
Co .	company	xxx
Corp .	corporation	xxx
CS	CS	xxx
Ctrl	Control	xxx
cyt .	cytat	subst:_:_:m3
cz .	część	subst:_:_:f
cze	czerwiec	subst:_:_:m3
czyt .	czytać	impt:sg:sec:imperf
ĆD	Ćwiczenia Duchowe	subst:pl:_:n:ncol
d	dzień	subst:_:_:m3
d	doba	subst:_:_:f
D .	dopełniacz	subst:sg:_:m3
D .	dativus	subst:_:_:m3
d .	dzień	subst:_:_:m3
d .	dom	subst:_:_:m3
d .	dawny	adj:_:_:_:pos
dag	dekagram	subst:_:_:m3
db .	dobry	subst:_:_:m3
DCIoS	Dominikańskie Centrum Informacji o Sektach	subst:sg:_:n:ncol
DEM	Deutsche Mark	xxx
Dep .	departament	subst:sg:_:m3
dk	dokonany	adj:_:_:_:pos
dkg	dekagram	subst:_:_:m3
dl	decylitr	subst:_:_:m3
dł .	długość	subst:_:_:f
Dn	Księga Daniela	subst:sg:_:f
dn .	dzień	subst:sg:gen:m3
dol .	dolina	subst:_:_:f
Dol .	dolina	subst:_:_:f
dol .	dolar	subst:_:_:m3
dom .	domowy	adj:_:_:_:pos
dot .	dotyczyć	fin:sg:ter:imperf
dot .	dotyczyć	pact:_:_:_:imperf:aff
dpt .	dioptria	subst:_:_:f
dst .	dostateczny	subst:_:_:m3
dyr .	dyrekcja	subst:_:_:f
dysk .	dyskusyjny	adj:_:_:_:pos
dyw .	dywizja	subst:_:_:f
Dz	Dzieje Apostolskie	subst:pl:_:n:pt
DZ	dziennik	subst:_:_:m3
dz .	dziennik	subst:_:_:m3
Dz .	dziennik	subst:_:_:m3
Dz . U .	Dziennik Ustaw	subst:sg:_:m3
e .	era	subst:sg:_:f
e . w .	ekwiwalent wodny	subst:_:_:m3
Ef	List do Efezjan	subst:sg:_:m3
EOT	end of topic	xxx
ER	ER	xxx
Est	Księga Estery	subst:sg:_:f
etc .	et cetera	xxx
EUR	euro	subst:_:_:n:ncol
ew .	ewentualnie	conj
ew .	ewentualnie	adv:pos
Ez	Księga Ezechiela	subst:sg:_:f
Ezd	Księga Ezdrasza	subst:sg:_:f
Eze	Księga Ezechiela	subst:sg:_:f
F	stopień Fahrenheita	subst:_:_:m3
f .	femininum	xxx
Flm	List do Filemona	subst:sg:_:m3
Flp	List do Filipian	subst:sg:_:m3
fot .	fotografia	subst:_:_:f
ft	stopa	subst:_:_:f
fund .	fundacja	subst:_:_:f
g	gram	subst:_:_:m3
G .	genetivus	subst:_:_:m3
g .	godzina	subst:_:_:f
Ga	List do Galatów	subst:sg:_:m3
Gal	List do Galatów	subst:sg:_:m3
GB	gigabajt	subst:_:_:m3
Gd .	Gdański	adj:_:_:_:pos
GD .	Gdański	adj:_:_:_:pos
Gen .	Genesis	subst:sg:_:f
geogr .	geograficzny	adj:_:_:_:pos
gg	Gadu-Gadu	subst:sg:_:m3
GH	GH	xxx
GHz	gigaherc	subst:_:_:m3
GJ	gigadżul	subst:_:_:m3
głęb .	głębokość	subst:_:_:f
gm .	gmina	subst:_:_:f
gm .	gminny	adj:_:_:_:pos
godz .	godzina	subst:_:_:f
gr	grosz	subst:_:_:m3
gr	gram	subst:_:_:m3
gr .	grupa	subst:_:_:f
gr.	grecki	subst:sg:_:m3
gr .	grecki	adj:_:_:_:pos
gru	grudzień	subst:_:_:m3
Gs	gaus	subst:_:_:m3
GW	Gazeta Wyborcza	subst:sg:_:f
h	godzina	subst:_:_:f
h	głębokość	subst:_:_:f
h	hora	subst:_:_:f
H	wysokość	subst:_:_:f
h . c .	honoris causa	xxx
Ha	Księga Habakuka	subst:sg:_:f
ha	hektar	subst:_:_:m3
Hab	Księga Habakuka	subst:sg:_:f
hab .	habilitować	ppas:_:_:_:perf:aff
Hbr	List do Hebrajczyków	subst:sg:_:m3
Hebr .	List do Hebrajczyków	subst:sg:_:m3
Hi	Księga Hioba	subst:sg:_:f
H - K .	H-K	xxx
hl	hektolitr	subst:_:_:m3
Hz	herc	subst:_:_:m3
I .	instrumentalis	subst:_:_:m3
I .	I	xxx
ib .	ibidem	xxx
ibid .	ibidem	xxx
ie .	indoeuropejski	adj:_:_:_:pos
IgE	Immunoglobina E	subst:sg:_:f
ilustr .	ilustracja	subst:_:_:f
im .	imię	subst:sg:nom:n:ncol
im .	imię	subst:sg:gen:n:ncol
IMHO	IMHO	xxx
IMHO	in my humble opinion	xxx
IMO	in my opinion	xxx
in .	inaczej	conj
in .	inaczej	adv:pos
in .	inny	adj:_:_:_:pos
INF .	informacja	subst:_:_:f
is .	islandzki	subst:sg:_:m3
is .	islandzki	adj:_:_:_:pos
Iz	Księga Izajasza	subst:sg:_:f
J	Ewangelia wg św. Jana	subst:sg:_:f
J .	Jezioro	subst:_:_:n:ncol
j .	jak	adv:pos
j .	język	subst:_:_:m3
J .	jezioro	subst:_:_:n:ncol
j .	jednostka	subst:_:_:f
Jdt	Księga Judyty	subst:sg:_:f
Jer .	Księga Jeremiasza	subst:sg:_:f
Jez .	Jezioro	subst:_:_:n:ncol
jez .	jezioro	subst:_:_:n:ncol
Jl	Księga Joela	subst:sg:_:f
Job	Księga Joba	subst:sg:_:f
Jon	Księga Jonasza	subst:sg:_:f
Joz .	Księga Jozuego	subst:sg:_:f
Jr	Księga Jeremiasza	subst:sg:_:f
JS	JavaScript	xxx
jun .	junior	subst:_:_:m1
k	kompania	subst:_:_:f
k .	kodeks	subst:_:_:m3
k .	karta	subst:_:_:f
k .	koło	prep:gen
k .	karny	adj:_:_:_:pos
k .	kartka	subst:_:_:f
K .	kościół	subst:sg:_:m3
K .	Krzyż	subst:_:_:m3
k . p . c .	Kodeks Postępowania Cywilnego	subst:sg:_:m3
k . w .	Kodeks Wykroczeń	subst:sg:_:m3
kal .	kaloria	subst:_:_:f
kasz .	kaszubski	adj:_:_:_:pos
kaszb .	kaszubski	adj:_:_:_:pos
kat .	katolicki	adj:_:_:_:pos
kat .	kategoria	subst:_:_:f
Kazn .	Księga Kaznodziei	subst:sg:_:f
kB	kilobajt	subst:_:_:m3
Kb	kilobit	subst:_:_:m3
KB	kilobajt	subst:_:_:m3
Kbps	kilobit na sekundę	subst:_:_:m3
kcal	kilokaloria	subst:_:_:f
kg	kilogram	subst:_:_:m3
kHz	kiloherc	subst:_:_:m3
KK	Kościół Katolicki	subst:sg:_:m3
kl .	klasa	subst:_:_:f
km	kilometr	subst:_:_:m3
KM	koń mechaniczny	subst:_:_:m2
KM	kilometr	subst:_:_:m3
Koh	Księga Koheleta	subst:sg:_:f
Kol	List do Kolosan	subst:sg:_:m3
kolej .	kolejowy	adj:_:_:_:pos
Konst .	Konstytucja	subst:_:_:f
kop .	kopalnia	subst:_:_:f
Kor	List do Koryntian	subst:sg:_:m3
Kpł	Księga Kapłańska	subst:sg:_:f
Kr	List do Koryntian	subst:sg:_:m3
KrK	Kościół Rzymskokatolicki	subst:sg:$c:m3
Krn	Księga Kronik	subst:sg:_:f
KS	Klub Sportowy	subst:_:_:m3
kV	kilowolt	subst:_:_:m3
